Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775881200,50,,Aggregated,22.600000,0.000000,330,620,940,1400,3200,16000,21000,22000,25000,25000,25000,1464,0,330.0,1801.38638919263,4.929204998916248,25487.797612000577,224464.89207650273
1775881201,50,,Aggregated,23.000000,0.000000,340,620,940,1400,3200,16000,21000,22000,25000,25000,25000,1475,0,340.0,1805.6318022528878,4.929204998916248,25487.797612000577,226966.81016949154
1775881202,50,,Aggregated,23.900000,0.000000,330,610,930,1300,3200,16000,21000,22000,25000,25000,25000,1507,0,330.0,1806.2867857120189,4.929204998916248,25487.797612000577,223849.26144658262
1775881203,50,,Aggregated,23.300000,0.000000,330,610,930,1300,3300,17000,21000,22000,25000,25000,25000,1528,0,330.0,1825.7952249843108,4.929204998916248,25487.797612000577,224029.58965968585
1775881204,50,,Aggregated,22.400000,0.000000,330,600,920,1300,3100,16000,21000,22000,25000,25000,25000,1542,0,330.0,1811.826753394308,4.929204998916248,25487.797612000577,224410.28923476004
1775881205,50,,Aggregated,21.900000,0.000000,330,610,910,1300,3100,16000,21000,22000,25000,25000,25000,1573,0,330.0,1787.7007807342734,4.929204998916248,25487.797612000577,223179.9624920534
1775881206,50,,Aggregated,22.800000,0.000000,320,600,900,1300,3100,16000,21000,22000,25000,25000,25000,1606,0,320.0,1781.2763562135804,4.929204998916248,25487.797612000577,220198.97820672477
1775881207,50,,Aggregated,22.700000,0.000000,310,580,870,1200,3000,16000,21000,22000,25000,25000,25000,1655,0,310.0,1749.9328472278007,4.929204998916248,25487.797612000577,214536.28700906344
1775881208,50,,Aggregated,24.000000,0.000000,310,570,870,1200,3000,16000,21000,22000,25000,25000,25000,1677,0,310.0,1732.878975873595,4.929204998916248,25487.797612000577,213966.2772808587
1775881209,50,,Aggregated,24.900000,0.000000,310,570,860,1200,2900,15000,21000,22000,25000,25000,25000,1706,0,310.0,1711.4076321389336,4.929204998916248,25487.797612000577,211826.7203985932
1775881210,50,,Aggregated,26.300000,0.000000,300,560,850,1200,3000,16000,21000,22000,25000,25000,25000,1742,0,300.0,1749.807374680266,4.929204998916248,25487.797612000577,208934.48737083812
1775881211,50,,Aggregated,27.100000,0.000000,300,560,850,1200,3000,17000,21000,22000,25000,25000,25000,1770,0,300.0,1761.7970133819347,4.929204998916248,25487.797612000577,208458.97514124293
1775881212,50,,Aggregated,26.700000,0.000000,290,540,840,1200,3100,16000,21000,22000,25000,25000,25000,1810,0,290.0,1764.631996617694,4.929204998916248,25487.797612000577,205287.16906077348
1775881213,50,,Aggregated,28.600000,0.000000,290,540,830,1200,3000,16000,21000,22000,25000,25000,25000,1819,0,290.0,1757.3375844717043,4.929204998916248,25487.797612000577,205636.73556899396
1775881214,50,,Aggregated,30.500000,0.000000,300,560,850,1200,3000,16000,21000,22000,25000,25000,25000,1838,0,300.0,1755.9725850495252,4.929204998916248,25487.797612000577,208216.29869423286
1775881215,50,,Aggregated,30.200000,0.000000,300,550,840,1200,2900,16000,21000,22000,25000,25000,25000,1852,0,300.0,1746.0262104060616,4.929204998916248,25487.797612000577,209316.1085313175
1775881216,50,,Aggregated,28.900000,0.000000,300,550,840,1200,2900,16000,21000,22000,25000,25000,25000,1872,0,300.0,1732.414101197128,4.929204998916248,25487.797612000577,209085.9503205128
1775881217,50,,Aggregated,28.800000,0.000000,290,540,830,1200,2800,15000,21000,22000,25000,25000,25000,1913,0,290.0,1706.0823449069699,4.929204998916248,25487.797612000577,205326.921589127
1775881219,50,,Aggregated,26.600000,0.000000,290,540,830,1200,2900,16000,21000,22000,25000,25000,25000,1948,0,290.0,1714.265543227946,4.929204998916248,25487.797612000577,202965.05544147844
1775881220,50,,Aggregated,27.600000,0.000000,290,540,830,1200,2900,16000,21000,22000,25000,25000,25000,1969,0,290.0,1718.325312994944,4.929204998916248,25487.797612000577,203949.90401218893
1775881221,50,,Aggregated,24.300000,0.000000,290,530,820,1200,2900,16000,21000,22000,25000,25000,25000,1994,0,290.0,1725.472399387684,4.929204998916248,25487.797612000577,203283.2106318957
